# [0]ell [1]TgradT [2]EgradE [3]BgradB [4]TgradE
1.250000000000000000e+02 3.530044675213920982e+03 1.071535637159538590e+00 7.437021482262882663e-03 -3.852512687360309229e+01
1.260000000000000000e+02 3.564569366017306038e+03 1.078587811803141339e+00 7.553647042676032118e-03 -3.903067271364311352e+01
1.270000000000000000e+02 3.599125793103911747e+03 1.085196929244163444e+00 7.671226786972367220e-03 -3.952285536891488249e+01
1.280000000000000000e+02 3.633706548748536079e+03 1.091348067567210478e+00 7.789761218138488257e-03 -4.000123124715619838e+01
1.290000000000000000e+02 3.668311693645872310e+03 1.097041393318676894e+00 7.909255221393567126e-03 -4.046528302512435005e+01
1.300000000000000000e+02 3.702926420534710360e+03 1.102261991796294804e+00 8.029709171218179717e-03 -4.091441932090036460e+01
1.310000000000000000e+02 3.737536057053986042e+03 1.107010055844419361e+00 8.151127780065421310e-03 -4.134819725323600181e+01
1.320000000000000000e+02 3.772148321977248543e+03 1.111285557978593630e+00 8.273511306459053333e-03 -4.176610070093113336e+01
1.330000000000000000e+02 3.806741470460585788e+03 1.115073980949879529e+00 8.396864276907108765e-03 -4.216768803894196793e+01
1.340000000000000000e+02 3.841315888153433207e+03 1.118390117637464432e+00 8.521186775139197658e-03 -4.255236960891200226e+01
1.350000000000000000e+02 3.875857231179921655e+03 1.121212062108192020e+00 8.646483120692403934e-03 -4.291985197587255385e+01
1.360000000000000000e+02 3.910365884852927593e+03 1.123547216036752783e+00 8.772753169893957731e-03 -4.326947176170169485e+01
1.370000000000000000e+02 3.944827507278652320e+03 1.125388483346873691e+00 8.900001076600534342e-03 -4.360078783626556032e+01
1.380000000000000000e+02 3.979235088135026217e+03 1.126743261852768407e+00 9.028226484376206118e-03 -4.391343294507343131e+01
1.390000000000000000e+02 4.013574288267593602e+03 1.127604467293533252e+00 9.157433120300859097e-03 -4.420696618242913445e+01
